instance_id,num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam
instrectL1412_12_16,168.0,608.0,0.2763,596.0,0.9803,1.0,4.0,3.619,2.0,4.0,3.619,52.0,0.3095,116.0,0.6905,48.0,0.2857,120.0,0.7143,20.0,0.119,148.0,0.881,6.0,0.0357,8.0,0.0476,0.0,0.0,3.0,11.0,79.0,2.0,2.0,13.0,10.0,24.0,17.1176,10.0,24.0,17.1176
instrectL1412_12_24,168.0,608.0,0.2763,596.0,0.9803,2.0,4.0,3.619,1.0,4.0,3.619,48.0,0.2857,120.0,0.7143,52.0,0.3095,116.0,0.6905,16.0,0.0952,152.0,0.9048,8.0,0.0476,6.0,0.0357,0.0,0.0,3.0,12.0,91.875,2.0,2.0,13.0,6.0,24.0,15.1429,6.0,24.0,15.6
instrectL1412_12_8,168.0,608.0,0.2763,598.0,0.9836,2.0,4.0,3.619,2.0,4.0,3.619,46.0,0.2738,122.0,0.7262,46.0,0.2738,122.0,0.7262,18.0,0.1071,150.0,0.8929,9.0,0.0536,9.0,0.0536,0.0,0.0,6.0,22.0,59.0,2.0,2.0,13.0,7.0,24.0,16.2105,7.0,24.0,16.2105
instrectL1412_14_1,168.0,606.0,0.2772,592.0,0.9769,2.0,4.0,3.6071,1.0,4.0,3.6071,50.0,0.2976,118.0,0.7024,52.0,0.3095,116.0,0.6905,22.0,0.131,146.0,0.869,8.0,0.0476,7.0,0.0417,0.0,0.0,1.0,5.0,91.875,2.0,2.0,13.0,5.0,24.0,16.5625,5.0,24.0,16.5625
instrectL1412_14_10,168.0,606.0,0.2772,592.0,0.9769,1.0,4.0,3.6071,2.0,4.0,3.6071,50.0,0.2976,118.0,0.7024,46.0,0.2738,122.0,0.7262,28.0,0.1667,140.0,0.8333,8.0,0.0476,10.0,0.0595,0.0,0.0,2.0,7.0,78.1,2.0,2.0,3.0,9.0,24.0,16.875,9.0,24.0,17.375
instrectL1412_14_27,168.0,606.0,0.2772,592.0,0.9769,1.0,4.0,3.6071,2.0,4.0,3.6071,54.0,0.3214,114.0,0.6786,52.0,0.3095,116.0,0.6905,24.0,0.1429,144.0,0.8571,6.0,0.0357,7.0,0.0417,0.0,0.0,2.0,9.0,81.1667,2.0,2.0,13.0,5.0,24.0,14.8636,5.0,24.0,15.7
instrectL1412_14_28,168.0,606.0,0.2772,592.0,0.9769,2.0,4.0,3.6071,2.0,4.0,3.6071,54.0,0.3214,114.0,0.6786,52.0,0.3095,116.0,0.6905,20.0,0.119,148.0,0.881,6.0,0.0357,7.0,0.0417,0.0,0.0,1.0,5.0,94.6667,2.0,2.0,13.0,6.0,24.0,16.5,6.0,24.0,16.5
instrectL1412_14_3,168.0,606.0,0.2772,592.0,0.9769,2.0,4.0,3.6071,1.0,4.0,3.6071,50.0,0.2976,118.0,0.7024,52.0,0.3095,116.0,0.6905,26.0,0.1548,142.0,0.8452,8.0,0.0476,7.0,0.0417,0.0,0.0,7.0,23.0,92.5,2.0,2.0,13.0,6.0,24.0,16.4118,6.0,24.0,16.5294
instrectL1412_14_32,168.0,606.0,0.2772,592.0,0.9769,1.0,4.0,3.6071,2.0,4.0,3.6071,54.0,0.3214,114.0,0.6786,50.0,0.2976,118.0,0.7024,24.0,0.1429,144.0,0.8571,6.0,0.0357,8.0,0.0476,0.0,0.0,5.0,20.0,84.0,2.0,2.0,14.0,4.0,24.0,14.6522,4.0,24.0,15.9
instrectL1412_14_8,168.0,606.0,0.2772,594.0,0.9802,2.0,4.0,3.6071,2.0,4.0,3.6071,52.0,0.3095,116.0,0.6905,52.0,0.3095,116.0,0.6905,20.0,0.119,148.0,0.881,7.0,0.0417,7.0,0.0417,0.0,0.0,6.0,20.0,73.2,2.0,2.0,13.0,11.0,24.0,17.5714,11.0,24.0,17.5714
instrectL1412_16_19,168.0,604.0,0.2781,588.0,0.9735,2.0,4.0,3.5952,2.0,4.0,3.5952,46.0,0.2738,122.0,0.7262,46.0,0.2738,122.0,0.7262,30.0,0.1786,138.0,0.8214,11.0,0.0655,11.0,0.0655,0.0,0.0,1.0,5.0,81.0,2.0,2.0,13.0,4.0,24.0,14.5417,4.0,24.0,15.7143
instrectL1412_16_20,168.0,604.0,0.2781,588.0,0.9735,2.0,4.0,3.5952,2.0,4.0,3.5952,56.0,0.3333,112.0,0.6667,52.0,0.3095,116.0,0.6905,30.0,0.1786,138.0,0.8214,6.0,0.0357,8.0,0.0476,0.0,0.0,3.0,11.0,78.0,2.0,2.0,13.0,5.0,24.0,15.9474,5.0,24.0,15.95
instrectL1412_16_27,168.0,604.0,0.2781,588.0,0.9735,2.0,4.0,3.5952,1.0,4.0,3.5952,52.0,0.3095,116.0,0.6905,56.0,0.3333,112.0,0.6667,30.0,0.1786,138.0,0.8214,8.0,0.0476,6.0,0.0357,0.0,0.0,7.0,28.0,78.125,2.0,2.0,16.0,8.0,24.0,16.375,8.0,24.0,16.375
instrectL1412_16_30,168.0,604.0,0.2781,588.0,0.9735,2.0,4.0,3.5952,1.0,4.0,3.5952,58.0,0.3452,110.0,0.6548,58.0,0.3452,110.0,0.6548,30.0,0.1786,138.0,0.8214,5.0,0.0298,5.0,0.0298,0.0,0.0,1.0,5.0,84.6667,20.0,3.0,13.0,9.0,24.0,16.5882,9.0,24.0,16.5882
instrectL1412_16_32,168.0,604.0,0.2781,588.0,0.9735,2.0,4.0,3.5952,1.0,4.0,3.5952,52.0,0.3095,116.0,0.6905,52.0,0.3095,116.0,0.6905,24.0,0.1429,144.0,0.8571,8.0,0.0476,8.0,0.0476,0.0,0.0,3.0,12.0,96.0,2.0,2.0,6.0,8.0,24.0,15.2,8.0,24.0,15.2
instrectL1412_16_35,168.0,604.0,0.2781,588.0,0.9735,1.0,4.0,3.5952,2.0,4.0,3.5952,56.0,0.3333,112.0,0.6667,52.0,0.3095,116.0,0.6905,32.0,0.1905,136.0,0.8095,6.0,0.0357,8.0,0.0476,0.0,0.0,2.0,7.0,99.8571,2.0,2.0,12.0,3.0,24.0,14.6842,6.0,24.0,16.4444
instrectL1412_16_38,168.0,604.0,0.2781,588.0,0.9735,1.0,4.0,3.5952,2.0,4.0,3.5952,54.0,0.3214,114.0,0.6786,54.0,0.3214,114.0,0.6786,30.0,0.1786,138.0,0.8214,7.0,0.0417,7.0,0.0417,0.0,0.0,3.0,12.0,87.6667,2.0,2.0,14.0,9.0,24.0,16.4118,9.0,24.0,16.5294
instrectL1412_16_5,168.0,604.0,0.2781,588.0,0.9735,1.0,4.0,3.5952,1.0,4.0,3.5952,50.0,0.2976,118.0,0.7024,52.0,0.3095,116.0,0.6905,26.0,0.1548,142.0,0.8452,9.0,0.0536,8.0,0.0476,0.0,0.0,4.0,16.0,79.1111,2.0,2.0,13.0,4.0,24.0,16.6667,4.0,24.0,16.6667
instrectL1412_18_33,168.0,602.0,0.2791,584.0,0.9701,1.0,4.0,3.5833,2.0,4.0,3.5833,60.0,0.3571,108.0,0.6429,58.0,0.3452,110.0,0.6548,32.0,0.1905,136.0,0.8095,5.0,0.0298,6.0,0.0357,0.0,0.0,2.0,8.0,79.8571,2.0,2.0,13.0,6.0,24.0,14.6818,6.0,24.0,15.0952
instrectL1412_18_37,168.0,602.0,0.2791,584.0,0.9701,2.0,4.0,3.5833,1.0,4.0,3.5833,48.0,0.2857,120.0,0.7143,46.0,0.2738,122.0,0.7262,32.0,0.1905,136.0,0.8095,11.0,0.0655,12.0,0.0714,0.0,0.0,3.0,13.0,95.8333,2.0,2.0,13.0,7.0,24.0,16.2222,7.0,24.0,16.2222
instrectL1412_2_0,168.0,618.0,0.2718,616.0,0.9968,2.0,4.0,3.6786,2.0,4.0,3.6786,44.0,0.2619,124.0,0.7381,46.0,0.2738,122.0,0.7262,4.0,0.0238,164.0,0.9762,5.0,0.0298,4.0,0.0238,0.0,0.0,4.0,16.0,80.8,2.0,2.0,13.0,11.0,24.0,17.9231,11.0,24.0,17.9231
instrectL1412_20_19,168.0,600.0,0.28,580.0,0.9667,2.0,4.0,3.5714,1.0,4.0,3.5714,54.0,0.3214,114.0,0.6786,52.0,0.3095,116.0,0.6905,36.0,0.2143,132.0,0.7857,9.0,0.0536,10.0,0.0595,0.0,0.0,2.0,8.0,82.1429,20.0,3.0,13.0,7.0,24.0,16.0,7.0,24.0,16.1053
instrectL1412_20_23,168.0,600.0,0.28,582.0,0.97,1.0,4.0,3.5714,2.0,4.0,3.5714,52.0,0.3095,116.0,0.6905,56.0,0.3333,112.0,0.6667,32.0,0.1905,136.0,0.8095,10.0,0.0595,8.0,0.0476,0.0,0.0,3.0,11.0,89.5556,2.0,2.0,14.0,7.0,24.0,15.6316,7.0,24.0,15.6316
instrectL1412_20_26,168.0,600.0,0.28,580.0,0.9667,1.0,4.0,3.5714,2.0,4.0,3.5714,52.0,0.3095,116.0,0.6905,52.0,0.3095,116.0,0.6905,34.0,0.2024,134.0,0.7976,10.0,0.0595,10.0,0.0595,0.0,0.0,3.0,12.0,83.8333,2.0,2.0,6.0,6.0,24.0,15.9412,6.0,24.0,15.9412
instrectL1412_20_27,168.0,600.0,0.28,582.0,0.97,2.0,4.0,3.5714,2.0,4.0,3.5714,60.0,0.3571,108.0,0.6429,50.0,0.2976,118.0,0.7024,34.0,0.2024,134.0,0.7976,6.0,0.0357,11.0,0.0655,0.0,0.0,2.0,8.0,89.375,2.0,2.0,13.0,7.0,24.0,15.4211,7.0,24.0,15.5263
instrectL1412_20_30,168.0,600.0,0.28,580.0,0.9667,2.0,4.0,3.5714,2.0,4.0,3.5714,60.0,0.3571,108.0,0.6429,54.0,0.3214,114.0,0.6786,28.0,0.1667,140.0,0.8333,6.0,0.0357,9.0,0.0536,0.0,0.0,4.0,15.0,82.5556,2.0,2.0,13.0,10.0,24.0,16.0526,10.0,24.0,16.0526
instrectL1412_20_35,168.0,600.0,0.28,580.0,0.9667,2.0,4.0,3.5714,2.0,4.0,3.5714,56.0,0.3333,112.0,0.6667,56.0,0.3333,112.0,0.6667,32.0,0.1905,136.0,0.8095,8.0,0.0476,8.0,0.0476,0.0,0.0,2.0,8.0,91.7778,2.0,2.0,3.0,7.0,24.0,16.3529,7.0,24.0,16.3529
instrectL1412_20_5,168.0,600.0,0.28,580.0,0.9667,2.0,4.0,3.5714,1.0,4.0,3.5714,56.0,0.3333,112.0,0.6667,58.0,0.3452,110.0,0.6548,34.0,0.2024,134.0,0.7976,8.0,0.0476,7.0,0.0417,0.0,0.0,3.0,12.0,86.0,2.0,2.0,8.0,6.0,24.0,15.4091,6.0,24.0,15.4091
instrectL1412_2_12,168.0,618.0,0.2718,616.0,0.9968,2.0,4.0,3.6786,2.0,4.0,3.6786,44.0,0.2619,124.0,0.7381,46.0,0.2738,122.0,0.7262,4.0,0.0238,164.0,0.9762,5.0,0.0298,4.0,0.0238,0.0,0.0,5.0,21.0,80.4,2.0,2.0,13.0,11.0,24.0,17.4286,11.0,24.0,17.4286
instrectL1412_2_13,168.0,618.0,0.2718,616.0,0.9968,2.0,4.0,3.6786,2.0,4.0,3.6786,44.0,0.2619,124.0,0.7381,44.0,0.2619,124.0,0.7381,4.0,0.0238,164.0,0.9762,5.0,0.0298,5.0,0.0298,0.0,0.0,1.0,5.0,80.4,2.0,2.0,13.0,11.0,24.0,17.8667,11.0,24.0,17.8667
instrectL1412_2_17,168.0,618.0,0.2718,616.0,0.9968,2.0,4.0,3.6786,2.0,4.0,3.6786,46.0,0.2738,122.0,0.7262,44.0,0.2619,124.0,0.7381,4.0,0.0238,164.0,0.9762,4.0,0.0238,5.0,0.0298,0.0,0.0,3.0,11.0,90.5,2.0,2.0,13.0,11.0,24.0,17.9231,11.0,24.0,17.9231
instrectL1412_22_12,168.0,598.0,0.2809,576.0,0.9632,2.0,4.0,3.5595,2.0,4.0,3.5595,62.0,0.369,106.0,0.631,56.0,0.3333,112.0,0.6667,30.0,0.1786,138.0,0.8214,6.0,0.0357,9.0,0.0536,0.0,0.0,1.0,5.0,90.4444,2.0,2.0,13.0,5.0,24.0,17.0667,5.0,24.0,17.0667
instrectL1412_22_24,168.0,598.0,0.2809,576.0,0.9632,2.0,4.0,3.5595,1.0,4.0,3.5595,62.0,0.369,106.0,0.631,60.0,0.3571,108.0,0.6429,42.0,0.25,126.0,0.75,6.0,0.0357,7.0,0.0417,0.0,0.0,4.0,16.0,91.0,2.0,2.0,13.0,8.0,24.0,17.2667,8.0,24.0,17.2667
instrectL1412_22_29,168.0,598.0,0.2809,576.0,0.9632,2.0,4.0,3.5595,1.0,4.0,3.5595,52.0,0.3095,116.0,0.6905,58.0,0.3452,110.0,0.6548,36.0,0.2143,132.0,0.7857,11.0,0.0655,8.0,0.0476,0.0,0.0,6.0,19.0,78.9091,2.0,2.0,13.0,6.0,24.0,16.8824,6.0,24.0,16.625
instrectL1412_22_30,168.0,598.0,0.2809,578.0,0.9666,2.0,4.0,3.5595,2.0,4.0,3.5595,52.0,0.3095,116.0,0.6905,48.0,0.2857,120.0,0.7143,38.0,0.2262,130.0,0.7738,11.0,0.0655,13.0,0.0774,0.0,0.0,1.0,5.0,76.9091,2.0,2.0,12.0,3.0,24.0,14.9545,3.0,24.0,15.3
instrectL1412_2_25,168.0,618.0,0.2718,616.0,0.9968,2.0,4.0,3.6786,2.0,4.0,3.6786,46.0,0.2738,122.0,0.7262,46.0,0.2738,122.0,0.7262,4.0,0.0238,164.0,0.9762,4.0,0.0238,4.0,0.0238,0.0,0.0,1.0,5.0,80.4,2.0,2.0,13.0,11.0,24.0,17.9231,11.0,24.0,17.9231
instrectL1412_22_5,168.0,598.0,0.2809,580.0,0.9699,2.0,4.0,3.5595,2.0,4.0,3.5595,62.0,0.369,106.0,0.631,60.0,0.3571,108.0,0.6429,28.0,0.1667,140.0,0.8333,6.0,0.0357,7.0,0.0417,0.0,0.0,2.0,8.0,93.3333,2.0,2.0,13.0,8.0,24.0,16.1579,8.0,24.0,16.15
instrectL1412_2_37,168.0,618.0,0.2718,616.0,0.9968,2.0,4.0,3.6786,2.0,4.0,3.6786,46.0,0.2738,122.0,0.7262,46.0,0.2738,122.0,0.7262,4.0,0.0238,164.0,0.9762,4.0,0.0238,4.0,0.0238,0.0,0.0,4.0,14.0,89.5,2.0,2.0,13.0,11.0,24.0,17.9231,11.0,24.0,17.9231
instrectL1412_24_11,168.0,596.0,0.2819,572.0,0.9597,1.0,4.0,3.5476,1.0,4.0,3.5476,52.0,0.3095,116.0,0.6905,54.0,0.3214,114.0,0.6786,38.0,0.2262,130.0,0.7738,12.0,0.0714,11.0,0.0655,0.0,0.0,5.0,17.0,92.5,2.0,2.0,3.0,7.0,24.0,15.6087,8.0,24.0,15.9565
instrectL1412_24_37,168.0,596.0,0.2819,572.0,0.9597,2.0,4.0,3.5476,2.0,4.0,3.5476,52.0,0.3095,116.0,0.6905,50.0,0.2976,118.0,0.7024,38.0,0.2262,130.0,0.7738,12.0,0.0714,13.0,0.0774,0.0,0.0,1.0,5.0,81.3846,2.0,2.0,11.0,2.0,24.0,15.7059,2.0,24.0,15.7059
instrectL1412_26_6,168.0,594.0,0.2828,568.0,0.9562,2.0,4.0,3.5357,1.0,4.0,3.5357,56.0,0.3333,112.0,0.6667,54.0,0.3214,114.0,0.6786,40.0,0.2381,128.0,0.7619,11.0,0.0655,12.0,0.0714,0.0,0.0,2.0,9.0,103.7778,2.0,2.0,11.0,7.0,24.0,16.2353,7.0,24.0,16.1111
instrectL1412_28_19,168.0,592.0,0.2838,564.0,0.9527,1.0,4.0,3.5238,1.0,4.0,3.5238,56.0,0.3333,112.0,0.6667,56.0,0.3333,112.0,0.6667,42.0,0.25,126.0,0.75,12.0,0.0714,12.0,0.0714,0.0,0.0,2.0,8.0,85.3333,2.0,2.0,3.0,4.0,24.0,15.4762,8.0,24.0,16.75
instrectL1412_28_25,168.0,592.0,0.2838,564.0,0.9527,2.0,4.0,3.5238,1.0,4.0,3.5238,58.0,0.3452,110.0,0.6548,56.0,0.3333,112.0,0.6667,50.0,0.2976,118.0,0.7024,11.0,0.0655,12.0,0.0714,0.0,0.0,6.0,22.0,90.7273,2.0,2.0,13.0,6.0,24.0,16.1364,6.0,24.0,15.9048
instrectL1412_28_27,168.0,592.0,0.2838,564.0,0.9527,1.0,4.0,3.5238,1.0,4.0,3.5238,56.0,0.3333,112.0,0.6667,60.0,0.3571,108.0,0.6429,46.0,0.2738,122.0,0.7262,12.0,0.0714,10.0,0.0595,0.0,0.0,1.0,4.0,81.5455,2.0,2.0,13.0,2.0,24.0,13.069,5.0,24.0,15.9524
instrectL1412_28_30,168.0,592.0,0.2838,566.0,0.9561,1.0,4.0,3.5238,1.0,4.0,3.5238,66.0,0.3929,102.0,0.6071,60.0,0.3571,108.0,0.6429,40.0,0.2381,128.0,0.7619,7.0,0.0417,10.0,0.0595,0.0,0.0,7.0,25.0,74.0,2.0,2.0,12.0,10.0,24.0,16.3333,10.0,24.0,16.3333
instrectL1412_28_31,168.0,592.0,0.2838,568.0,0.9595,2.0,4.0,3.5238,1.0,4.0,3.5238,56.0,0.3333,112.0,0.6667,64.0,0.381,104.0,0.619,40.0,0.2381,128.0,0.7619,12.0,0.0714,8.0,0.0476,0.0,0.0,5.0,19.0,108.1111,2.0,2.0,13.0,6.0,24.0,15.5,6.0,24.0,16.1176
instrectL1412_30_13,168.0,590.0,0.2847,564.0,0.9559,1.0,4.0,3.5119,1.0,4.0,3.5119,58.0,0.3452,110.0,0.6548,54.0,0.3214,114.0,0.6786,40.0,0.2381,128.0,0.7619,12.0,0.0714,14.0,0.0833,0.0,0.0,1.0,5.0,70.0,2.0,2.0,13.0,4.0,24.0,15.5789,4.0,24.0,15.5789
instrectL1412_30_16,168.0,590.0,0.2847,566.0,0.9593,1.0,4.0,3.5119,2.0,4.0,3.5119,56.0,0.3333,112.0,0.6667,60.0,0.3571,108.0,0.6429,42.0,0.25,126.0,0.75,13.0,0.0774,11.0,0.0655,0.0,0.0,9.0,34.0,82.7273,2.0,2.0,13.0,9.0,24.0,16.7222,9.0,24.0,16.7222
instrectL1412_30_3,168.0,590.0,0.2847,560.0,0.9492,2.0,4.0,3.5119,1.0,4.0,3.5119,56.0,0.3333,112.0,0.6667,58.0,0.3452,110.0,0.6548,46.0,0.2738,122.0,0.7262,13.0,0.0774,12.0,0.0714,0.0,0.0,3.0,11.0,79.7273,2.0,2.0,13.0,1.0,24.0,13.2059,1.0,24.0,14.6667
instrectL1412_30_30,168.0,590.0,0.2847,560.0,0.9492,1.0,4.0,3.5119,2.0,4.0,3.5119,62.0,0.369,106.0,0.631,58.0,0.3452,110.0,0.6548,44.0,0.2619,124.0,0.7381,10.0,0.0595,12.0,0.0714,0.0,0.0,9.0,30.0,82.9091,2.0,2.0,13.0,2.0,24.0,13.9583,2.0,24.0,16.0
instrectL1412_32_15,168.0,588.0,0.2857,558.0,0.949,1.0,4.0,3.5,1.0,4.0,3.5,58.0,0.3452,110.0,0.6548,70.0,0.4167,98.0,0.5833,44.0,0.2619,124.0,0.7381,13.0,0.0774,7.0,0.0417,0.0,0.0,3.0,11.0,79.7273,2.0,2.0,3.0,10.0,24.0,15.6667,10.0,24.0,15.6667
instrectL1412_32_25,168.0,588.0,0.2857,558.0,0.949,2.0,4.0,3.5,2.0,4.0,3.5,62.0,0.369,106.0,0.631,60.0,0.3571,108.0,0.6429,50.0,0.2976,118.0,0.7024,11.0,0.0655,12.0,0.0714,0.0,0.0,2.0,9.0,100.7273,2.0,2.0,8.0,6.0,24.0,16.9444,6.0,24.0,16.7059
instrectL1412_32_3,168.0,588.0,0.2857,556.0,0.9456,1.0,4.0,3.5,2.0,4.0,3.5,58.0,0.3452,110.0,0.6548,52.0,0.3095,116.0,0.6905,48.0,0.2857,120.0,0.7143,13.0,0.0774,16.0,0.0952,0.0,0.0,2.0,8.0,74.7,2.0,2.0,13.0,1.0,24.0,13.4444,1.0,24.0,15.619
instrectL1412_32_30,168.0,588.0,0.2857,558.0,0.949,2.0,4.0,3.5,2.0,4.0,3.5,66.0,0.3929,102.0,0.6071,68.0,0.4048,100.0,0.5952,46.0,0.2738,122.0,0.7262,9.0,0.0536,8.0,0.0476,0.0,0.0,7.0,27.0,102.4,2.0,2.0,3.0,7.0,24.0,15.7727,7.0,24.0,15.8636
instrectL1412_34_26,168.0,586.0,0.2867,552.0,0.942,2.0,4.0,3.4881,1.0,4.0,3.4881,58.0,0.3452,110.0,0.6548,58.0,0.3452,110.0,0.6548,58.0,0.3452,110.0,0.6548,14.0,0.0833,14.0,0.0833,0.0,0.0,2.0,8.0,102.6667,2.0,2.0,13.0,1.0,24.0,13.0714,1.0,24.0,14.3333
instrectL1412_36_16,168.0,584.0,0.2877,550.0,0.9418,1.0,4.0,3.4762,2.0,4.0,3.4762,54.0,0.3214,114.0,0.6786,62.0,0.369,106.0,0.631,50.0,0.2976,118.0,0.7024,17.0,0.1012,13.0,0.0774,0.0,0.0,1.0,5.0,70.625,2.0,2.0,13.0,1.0,24.0,13.6207,1.0,24.0,15.9091
instrectL1412_36_23,168.0,584.0,0.2877,548.0,0.9384,1.0,4.0,3.4762,1.0,4.0,3.4762,66.0,0.3929,102.0,0.6071,62.0,0.369,106.0,0.631,48.0,0.2857,120.0,0.7143,11.0,0.0655,13.0,0.0774,0.0,0.0,5.0,18.0,81.8889,2.0,2.0,9.0,7.0,24.0,16.5789,7.0,24.0,16.5789
instrectL1412_38_13,168.0,582.0,0.2887,544.0,0.9347,1.0,4.0,3.4643,2.0,4.0,3.4643,62.0,0.369,106.0,0.631,58.0,0.3452,110.0,0.6548,48.0,0.2857,120.0,0.7143,14.0,0.0833,16.0,0.0952,0.0,0.0,1.0,5.0,79.9167,2.0,2.0,13.0,5.0,24.0,15.6471,5.0,24.0,15.6471
instrectL1412_38_36,168.0,582.0,0.2887,546.0,0.9381,1.0,4.0,3.4643,1.0,4.0,3.4643,56.0,0.3333,112.0,0.6667,60.0,0.3571,108.0,0.6429,46.0,0.2738,122.0,0.7262,17.0,0.1012,15.0,0.0893,0.0,0.0,1.0,4.0,84.0,2.0,2.0,1.0,4.0,24.0,16.2105,5.0,24.0,14.7727
